id	Species	Project	Sequenced.previously	Type	extraction.year	Date	Year	State	Location	Latitude	Longitude	Elevation	Time	Band.	Sex	Age	Blood	Fecal	CP	Photo	Measurer	Wing	Tail	Tarsus	Geo	Notes	Additional.Sheets.
CE22D05	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	22-May	2019	BC	Red_Pass_Junction	53.00954	-119.59293	815	8:00:00	279000722	M	ASY		Y				75	58.5	18.85
CE26D02	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	26-May	2019	AB	Yellowhead_Pass	52.8861	-118.3912	1123	6:30:00	279000727	F	SY		Y				68	54	17.61
CE26D03	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	26-May	2019	AB	Yellowhead_Pass	52.88604	-118.39308	1133	6:40:00	279000728	M	ASY		Y				73	58	18.55
CE27D02	UYRW	YRWA_hybrid_zone_2019	N	Sample	2021	27-May	2019	AB	Yellowhead_Pass	52.88386	-118.38996	1086	6:15:00	279000732	F	SY		Y				76	58.5	19.99
CE28D03	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	28-May	2019	AB	Pyramid_Lake	52.92502	-118.0936	1188	6:20:00	279000741	M	SY		Y				71.5	55	19.99
CE28D04	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	28-May	2019	AB	Pyramid_Lake	52.92375	-118.09464	1203	9:00:00	279000742	M	SY		Y				73	58.5	19.46
CE28D05	UYRW	YRWA_hybrid_zone_2019	N	Sample	2021	28-May	2019	AB	Pyramid_Lake	52.92375	-118.09464	1203	9:20:00	279000743	F	SY		Y				73.5	56	18.71
CE29D05	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	29-May	2019	AB	Pyramid_Lake	52.91399	-118.09763	1190	7:15:00	279000749	M	SY		Y				70	58.5	18.89
CE30D04	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	30-May	2019	AB	Snaring	53.04049	-118.12259	1033	9:24:00	279000755	M	SY		Y				69	53.5	18.6
CE31D04	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	31-May	2019	BC	Red_Pass_Junction	52.99257	-119.55035	783	15:15:00	279000761	M	SY		Y				72	55	18.42
CF05D01	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	5-Jun	2019	AB	Ghost	51.40492	-115.05418	1523	21:00:00	279000769	F	SY		Y				73	55	19.14
CF05D02	UYRW	YRWA_hybrid_zone_2019	N	Sample	2021	5-Jun	2019	AB	Ghost	51.40492	-115.05418	1523	21:20:00	279000770	M	SY		Y				73	57	19.15
CF05D03	UYRW	YRWA_hybrid_zone_2019	N	Sample	2021	5-Jun	2019	AB	Ghost	51.40492	-115.05418	1523	21:30:00	279000771	M	ASY		Y				73	57	18.9
CF06D03	UYRW	YRWA_hybrid_zone_2019	N	Sample	2021	6-Jun	2019	AB	Ghost	51.40577	-115.04471	1516	8:00:00	279000774	M	ASY		Y				74.5	55.5	18.49
CF06D07	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	6-Jun	2019	AB	Ghost	51.4045	-115.03551	1511	10:20:00	279000778	M	SY		Y				72	56	18.97
CF08D06	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	8-Jun	2019	AB	Sundre	51.70773	-114.81514	1207	7:10:00	279000786	F	SY		Y				67	52.5	18.21
CF08D07	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	8-Jun	2019	AB	Sundre	51.70766	-114.82116	1199	9:40:00	279000787	M	SY		Y				71.5	55	18.76
CF09D01	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	9-Jun	2019	AB	Rocky_Mountain_House	52.46918	-115.11675	987	7:00:00	279000791	M	SY		Y				71.5	55.5	17.65
CF09D02	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	9-Jun	2019	AB	Rocky_Mountain_House	52.47143	-115.11624	984	8:00:00	279000792	M	SY		Y				71	54	18.43
CF12D04	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	12-Jun	2019	AB	Fawcett_Lake	55.32949	-114.02041	655	7:20:00	279000807	M	SY		Y				70	55	17.89
CF12D05	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	12-Jun	2019	AB	Grizzly_Trail	54.52472	-115.09235	850	20:30:00	279000808	M	SY		Y				70	53	18.34
CF12D06	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	12-Jun	2019	AB	Grizzly_Trail	54.52472	-115.09235	850	10:30:00	279000809	M	SY		Y				73.5	57.5	18.65
CF14D01	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	14-Jun	2019	AB	Miette	53.19487	-117.19487	1125	20:00:00	279000810	M	SY		Y				72	57.5	19.08
CF14D02	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	14-Jun	2019	AB	Miette	53.19487	-117.19487	1125	20:00:00	NA	M	SY		Y				70.5	53.5	17.96
CF15D06	MYWA	YRWA_hybrid_zone_2019	N	Sample	2021	15-Jun	2019	AB	Miette	53.18598	-117.88742	1271	8:00:00	279000816	M	SY		Y				73	56	18.92
CF20D03	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	20-Jun	2019	AB	Peter_Lougheed	50.70338	-115.1211	1626	12:00:00	279000831	F	ASY		Y				69	52.5	NA
CF20D04	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	20-Jun	2019	AB	Evan_Thomas	50.89293	-115.13427	1531	16:25:00	279000833	M	SY		Y				73	59	18.83
CF20D05	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	20-Jun	2019	AB	Evan_Thomas	50.89374	-115.1334	1508	16:30:00	279000832	F	SY		Y				69	50.5	18.7
CF20D06	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	20-Jun	2019	AB	Evan_Thomas	50.89374	-115.1334	1508	16:40:00	279000834	M	SY		Y				75	57	18.98
CF22D02	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	22-Jun	2019	AB	Waterton	49.02912	-113.68134	1378	9:30:00	279000836	M	SY		Y				74	55.5	19.51
CF23D03	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	23-Jun	2019	AB	Waterton	49.0761	-113.79132	1512	8:45:00	279000839	M	ASY		Y				77	58	19.31
CF23D05	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	23-Jun	2019	AB	Waterton	49.0761	-113.79132	1512	9:05:00	279000841	F	SY		Y				73.5	57	18.48
CF23D07	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	23-Jun	2019	AB	Crowsnest	49.66006	-114.48129	1584	17:15:00	279000843	M	ASY		Y				75	59	19.29
CF24D01	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	24-Jun	2019	AB	Crowsnest	49.68006	-114.59549	1558	7:20:00	279000845	M	ASY		Y				78	60	19.56
CF25D06	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	25-Jun	2019	AB	Livingstone	50.10477	-114.43951	1702	9:25:00	279000859	M	ASY		Y				76	58	18.75
CF25D08	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	25-Jun	2019	AB	Livingstone	50.13415	-114.43752	1753	11:30:00	279000861	M	SY		Y				73.5	55.5	18.56
CF25D10	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	25-Jun	2019	AB	Livingstone	50.09716	-114.43527	1676	13:00:00	279000863	F	SY		Y				71	53	19.48
CF26D06	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	26-Jun	2019	AB	Peter_Lougheed	50.686	-115.11548	1679	7:30:00	279000869	F	SY		Y				69	53.5	18.91
CF26D07	UYRW	YRWA_hybrid_zone_2019	N	Sample	2021	26-Jun	2019	AB	Peter_Lougheed	50.686	-115.11548	1679	7:50:00	279000870	M	SY		Y				72	56.5	19.12
CF26D13	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	26-Jun	2019	AB	Peter_Lougheed	50.68805	-115.13513	1698	10:55:00	279000876	M	SY		Y				74	59	18.39
CF27D02	AUWA	YRWA_hybrid_zone_2019	N	Sample	2021	27-Jun	2019	AB	Peter_Lougheed	50.69821	-115.11428	1622	8:30:00	279000878	M	SY		Y				74	57.5	19.59
CF27D04	UYRW	YRWA_hybrid_zone_2019	N	Sample	2021	27-Jun	2019	AB	Peter_Lougheed	50.69734	-115.11338	1628	8:45:00	279000880	M	SY		Y				74	57	18.48
EXTR-NEG-2022-1	NA	NA	Y	Neg_extr	2022	NA	2022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EXTR-NEG-2022-2	NA	NA	Y	Neg_extr	2022	NA	2022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JL-NEG-EXT-1	NA	NA	Y	Neg_extr	2021	NA	2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MB-EXT-NEG-1	NA	NA	Y	Neg_extr	2021	NA	2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEG-1-YRWA	NA	NA	N	Neg_extr	2021	NA	2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEG-2-YRWA	NA	NA	N	Neg_extr	2021	NA	2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEG-EXTR-1	NA	NA	Y	Neg_extr	2020	NA	2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEG-EXTR-2	NA	NA	Y	Neg_extr	2020	NA	2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR-neg-yrwa-1	NA	NA	N	Neg_pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR-neg-yrwa-11	NA	NA	N	Neg_pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR-neg-yrwa-13	NA	NA	N	Neg_pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR-neg-yrwa-3	NA	NA	N	Neg_pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR-neg-yrwa-5	NA	NA	N	Neg_pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR-neg-yrwa-7	NA	NA	N	Neg_pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCR-neg-yrwa-9	NA	NA	N	Neg_pcr	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
QF09T03	MYWA	ADK	Y	Sample	NA	9-Jun	2017	NY	Moose River	43.689824	-74.751738	529	8:40	284029320	M	AHY	Y	Y	3	y-nikon	DPT	73	60	17.6
QF10T03	MYWA	ADK	Y	Sample	NA	10-Jun	2017	NY	Moose River	43.718615	-74.784205	608	6:55	284029327	M	AHY	Y	Y	3	y-nikon	DPT	73	59	18.9
QF11T02	MYWA	ADK	Y	Sample	NA	11-Jun	2017	NY	Sagamore	43.802827	-74.651096	545	6:30	284029337	M	AHY	Y	Y	3	y-nikon	DPT	75	63	19
QF11T05	MYWA	ADK	Y	Sample	NA	11-Jun	2017	NY	Sagamore	43.78666	-74.642856	563	9:22	284029340	M	AHY	Y	Y	3	y-nikon	DPT	71.5	60	17.6
QF11T06	MYWA	ADK	Y	Sample	NA	11-Jun	2017	NY	Sagamore	43.771995	-74.637935	598	11:17	284029341	M	AHY	Y	Y	3	y-nikon	DPT	71	56	18.3
QF11T07	MYWA	ADK	Y	Sample	NA	11-Jun	2017	NY	Sagamore	43.771995	-74.637935	598	11:17	284029342	M	AHY	Y	Y	3	y-nikon	DPT	73.5	59	18.2
RF06T06	MYWA	ADK	Y	Sample	NA	6-Jun	2018	NY	Moose River	43.683566	-74.739173	591	8:50	284029372	M	AHY	Y	Y	3	y-nikon	DPT	72	57	17.3
RF06T07	MYWA	ADK	Y	Sample	NA	6-Jun	2018	NY	Moose River	43.683566	-74.739173	591	8:55	284029373	M	AHY	Y	Y	3	y-nikon	DPT	71	56	18.5
RF06T15	MYWA	ADK	Y	Sample	NA	6-Jun	2018	NY	Moose River	43.685822	-74.746612	573	11:45	284029381	M	AHY	Y	Y	3	y-nikon	DPT	71	59	18.1
RF07T17	MYWA	ADK	Y	Sample	NA	7-Jun	2018	NY	Moose River	43.674191	-74.709151	575	6:40	284029396	M	AHY	Y	Y	3	y-nikon	DPT	71	55	17.5
RF08T02	MYWA	ADK	Y	Sample	NA	8-Jun	2018	NY	Moose River	43.683226	-74.734783	598	6:20	284029401	M	AHY	Y	Y	3	y-nikon	DPT	71	54	18.8
RF21T03	MYWA	ADK	Y	Sample	NA	21-Jun	2018	NY	Wakely Mtn	43.736256	-74.51209	1072	8:04	284029438	F	AHY	N	Y	0	y-iPhone	DPT	69.5	55	17.2
SF12T01	MYWA	Opportunistic_PA	Y	Sample	NA	12-Jun	2019	PA	Bear Gap	40.723591	-77.791108	721	7:05	284029497	M	AHY	N	Y	3	Cannon	DPT	71	56	17.5		Non SDS; 40 uL. Pics after T02
SF17T02	MYWA	ADK	Y	Sample	NA	17-Jun	2019	NY	Moose River	43.685901	-74.746569	567	6:30	283030003	M	AHY	Y	Y	3	Cannon	DPT	71	56	17.9
SF17T10	MYWA	ADK	Y	Sample	NA	17-Jun	2019	NY	Moose River	43.688843	-74.750433	570	8:35	283030009	M	AHY	Y	Y	3	Cannon	DPT	74	57	18.8
SF17T11	MYWA	ADK	Y	Sample	NA	17-Jun	2019	NY	Moose River	43.688843	-74.750433	570	9:11	283030010	M	AHY	Y	Y	3	Cannon	DPT	74	60	18.7
